'Description','Type / Format','Last Updated','File Name','Comments','Length','Values','Dataset Name','Dataset Description','Example','Name',
'Created by Userid','VARCHAR2','2013-05-07 00:54:48','CREATED_BY_18479','NULL','250','NULL','BU50T1_PROJECT_TASK_NOTES','Contains the current task notes for a CPM project.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:48','CREATED_BY_18490','NULL','250','NULL','BU50T1_PROJECT_TASK_NOTE_JN','Contains all the task notes for a CPM project.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:48','CREATED_BY_18496','NULL','250','user','BU50T1_PROJECT_YEAR_PUBLISHED','Year a CPM project was published in the capital improvement program" book."','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:48','CREATED_BY_18503','NULL','250','NULL','BU50T1_PROJ_FUNDING_PROCESSES','Table not used.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:48','CREATED_BY_18513','NULL','250','NULL','BU50T1_PROJ_FUNDING_SOURCES','Table not used.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:48','CREATED_BY_18534','NULL','250','NULL','BU50T1_PROJ_FUNDING_STRIPS','FMPS funding strips currently associated to a CPM project.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18557','NULL','250','NULL','BU50T1_PROJ_FUNDING_STRIPS_JN','All FMPS funding strips associated to a CPM project.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18563','NULL','250','NULL','BU50T1_PROJ_MAJ_TASK_WORK_TYPE','Stores the project major task work types.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18571','NULL','250','NULL','BU50T1_PROJ_PHASE_CONTRACTORS','Used in the CIP system; not used on the CPM system.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18592','NULL','250','user','BU50T1_REPORTS','Contains all reports in the CPM system along with their user description.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18603','NULL','250','user','BU50T1_REPORT_GROUP_CATEGORIES','Stores CPM report category groupings.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18610','NULL','250','user','BU50T1_REPORT_GROUP_CAT_DN','Controls which report categories a user is able to view.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18619','NULL','250','NULL','BU50T1_REPORT_PARMS','CPM report parameters','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18633','NULL','250','NULL','BU50T1_REPORT_PARM_LOOKUP','CPM report parameters linking the user label to the SQL cursor used.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18645','NULL','250','NULL','BU50T1_RESP_DN_BENCHMARKS','CIP benchmark data; not used in CPM.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18655','NULL','250','NULL','BU50T1_RESP_DN_FACILITIES','Responsible department for a facility.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18662','NULL','250','NULL','BU50T1_RESP_DN_FUNDING_PROCESS','Table not used.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18669','NULL','250','NULL','BU50T1_RESP_DN_FUNDS','Controls which department can view/use a fund in CPM.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18678','NULL','250','NULL','BU50T1_RESP_DN_PROGRAMS','Table not used.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18685','NULL','250','NULL','BU50T1_RESP_DN_SUB_PROGRAMS','Controls which departments can view/use a sub-program.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18694','NULL','250','NULL','BU50T1_RESP_DN_WORK_TYPES','Controls which work types can be seen/used by a department.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18704','NULL','30','NULL','BU50T1_ROLES','Table contains no data.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18724','NULL','250','NULL','BU50T1_STREETS','Contains a full list of all valid street available for geocoding purposes','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18734','NULL','250','NULL','BU50T1_SUB_PROGRAMS','Contains all program/sub-program combinations.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18750','NULL','250','NULL','BU50T1_VENDORS','Contains all CIP vendors.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18757','NULL','250','NULL','BU50T1_WORK_CATEGORIES','Contains the CPM work categories.','NULL','CREATED_BY',
'Created by Userid','VARCHAR2','2013-05-07 00:54:49','CREATED_BY_18768','NULL','250','NULL','BU50T1_WORK_TYPES','Contains all the work types listed in CPM.','NULL','CREATED_BY',
'NULL','DATE','2013-05-07 00:53:46','CREATION_DATE_15060','NULL','7','NULL','BOOK_ALDERMANIC_PAYRATE','data used for creating pay schedule for aldermanic staff published in the Budget Book','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:47','CREATION_DATE_15326','NULL','7','sysdate','BU25T1_APPR','Level for organizational budgeting by dept number','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:47','CREATION_DATE_15359','NULL','7','sysdate','BU25T1_APPR_AMTS','Appropriation amounts at the account level during the budget budget process. Child of bu25t1_appr table.','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:48','CREATION_DATE_15491','NULL','7','sysdate','BU25T1_CODE_OBJECTS','A library listing City department','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:48','CREATION_DATE_15514','NULL','7','sysdate','BU25T1_CODE_TYPES','Lists the categories of codes available on bu25t1_code_objects. Key is ref code','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:49','CREATION_DATE_15761','NULL','7','sysdate','BU25T1_EPROGRAMS','programs for equipment note','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:49','CREATION_DATE_15778','NULL','7','sysdate','BU25T1_EPROGRAM_ITEMS','program items for equipment note requests','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:49','CREATION_DATE_15804','NULL','7','sysdate','BU25T1_EQUIP_AMTS','Equipment note subsystem account data with history. Child table of bu25t1_appr.','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:49','CREATION_DATE_15936','NULL','7','sysdate','BU25T1_FMPS_IMPORT','Expenditure data from City Comptroller's FMPS system','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:49','CREATION_DATE_15948','NULL','7','sysdate','BU25T1_FMPS_IMPORT_DETAIL','Expenditure raw data from City Comptroller's FMPS system','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:50','CREATION_DATE_15960','NULL','7','NULL','BU25T1_HISTORY_ACCTS','Historical data for dept/fund/org/account appropriations since 1989','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:50','CREATION_DATE_16001','NULL','7','NULL','BU25T1_HISTORY_TOTALS','Historical position counts for each dept/fund/org since 1989','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:50','CREATION_DATE_16041','NULL','7','NULL','BU25T1_HISTORY_XORGS','Historical list of every dept/fund/org going back to 1989','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:50','CREATION_DATE_16160','NULL','7','sysdate','BU25T1_MODULES','A dictionary of all reports in CBS','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:50','CREATION_DATE_16185','NULL','7','sysdate','BU25T1_ORGS','Department organizations from 1000 to 4000 level and the organization they report to. Self referential.','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:50','CREATION_DATE_16209','NULL','7','sysdate','BU25T1_PROGRAMS','Dept programs','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:50','CREATION_DATE_16226','NULL','7','sysdate','BU25T1_PROGRAM_DESC','List of all department program descriptions','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16243','NULL','7','sysdate','BU25T1_PROGRAM_ITEMS','Lowest level for budget accounts. Itemizing what is in nonpersonnel accounts','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16270','NULL','7','sysdate','BU25T1_PROGRAM_PM_IND','Was used to for displaying performance measures in the Program Book. Currently not used.','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16287','NULL','7','sysdate','BU25T1_REVENUE_AMTS','revenue collections provided by Dept of Finance revenue collections. Child table of bu25t1_revenue_appr','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16301','NULL','7','sysdate','BU25T1_REVENUE_APPR','Revenue collections root table by dept','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16334','NULL','7','sysdate','BU25T1_REV_ORGS','List of general revenue categories and groupings','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16341','NULL','7','sysdate','BU25T1_RPROGRAMS','specific revenue sources that have been collected by Dept of Finance - revenue section','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16352','NULL','7','sysdate','BU25T1_RPROGRAM_DESC','List of more specific revenue source codes and descriptions','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16360','NULL','7','sysdate','BU25T1_RPROGRAM_ITEMS','Revenue collection from Dept of Finance - Revenue section. Itemized data.','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16378','NULL','7','NULL','BU25T1_SCHEDULES','Pay schedules and grades.','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16413','NULL','7','NULL','BU25T1_STEPS','Child of bu25t1_schedules. Pay rates by chedule','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16428','NULL','7','NULL','BU25T1_STEPS_NEW','Used for applying new step increases in effect for next budget year','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16485','NULL','7','sysdate','BU25T1_USER_ACCESS','List of CBS users','NULL','CREATION_DATE',
'NULL','DATE','2013-05-07 00:53:51','CREATION_DATE_16505','NULL','7','sysdate','BU25T1_USER_DEPT_ACCESS','List of depts or dept/bureaus that CBS users are restricted to','NULL','CREATION_DATE',
'date created','DATE','2013-05-07 00:53:52','CREATION_DATE_16516','NULL','7','sysdate','BU26T1_APPR','Contains the prior years appropriation.','NULL','CREATION_DATE',
'date created','DATE','2013-05-07 00:53:52','CREATION_DATE_16549','NULL','7','sysdate','BU26T1_CODE_OBJECTS','Contains references that are used by the budget system (CBS) for processing and application use.','NULL','CREATION_DATE',
'date created','DATE','2013-05-07 00:53:52','CREATION_DATE_16577','NULL','7','sysdate','BU26T1_ORGS','Stores the organizations used by the budget system (CBS); a parent table that contains all the organizations.','NULL','CREATION_DATE',
'date created','DATE','2013-05-07 00:53:52','CREATION_DATE_16590','NULL','7','sysdate','BU26T1_PAYROLL','Stores the payroll information used for chicago budget system (CBS) reporting purposes.','NULL','CREATION_DATE',
'date created','DATE','2013-05-07 00:53:52','CREATION_DATE_16595','NULL','7','NULL','BU26T1_PAYROLLS_PROCESSED','Stores the payrolls that have already been processed for the current year.','NULL','CREATION_DATE',
'date created','DATE','2013-05-07 00:53:52','CREATION_DATE_16613','NULL','7','sysdate','BU26T1_PAYROLL_DETAIL','Stores the most recent payroll.','NULL','CREATION_DATE',
'date created','DATE','2013-05-07 00:53:52','CREATION_DATE_16631','NULL','7','sysdate','BU26T1_PAYROLL_HISTORY','Stores previous payrolls copied from the BU26T1_PAYROLL_DETAIL table.','NULL','CREATION_DATE',
'Date created','DATE','2013-05-07 00:54:46','CREATION_DATE_17791','NULL','7','NULL','BU50T1_DT_CONTRACTS','stores contract information entered by the procurement department.','NULL','CREATION_DATE',
'Date created','DATE','2013-05-07 00:54:46','CREATION_DATE_17837','NULL','7','NULL','BU50T1_DT_CONTRACT_CYCLES','stores contract cycle information.','NULL','CREATION_DATE',
'Date created','DATE','2013-05-07 00:54:46','CREATION_DATE_17851','NULL','7','NULL','BU50T1_DT_CYCLE_SETUPS','stores information regarding the contract cycle steps.','NULL','CREATION_DATE',
'Date created','DATE','2013-05-07 00:54:46','CREATION_DATE_17864','NULL','7','NULL','BU50T1_DT_LOOKUPS','contains lookup values that are used by the other BU50T1_DT" tables."','NULL','CREATION_DATE',
'Creation date','Date/Time','2013-05-07 01:04:49','Creation_Date_20316','NULL','NULL','NULL','EPI_CARD.DBA','Contains identification card information','6/22/2011 20:09','Creation_Date',
'Date of client information created','Date/Time','2013-05-07 01:04:49','Creation_Date_20329','NULL','NULL','NULL','EPI_PERSON.DBA','Contains demographic information of registered clients','6/22/2011 20:09','Creation_Date',
'credited to the fund from the department.','NUMBER','2013-05-07 00:53:52','CREDIT_16623','NULL','22','NULL','BU26T1_PAYROLL_FMPS_DETAIL','Stores payroll information containing what FMPS has paid out.','NULL','CREDIT',
'NULL','VARCHAR2','2013-05-07 00:54:46','CRITICAL_17809','NULL','5','NULL','BU50T1_DT_CONTRACTS','stores contract information entered by the procurement department.','NULL','CRITICAL',
'Y - exportable in comma separated format','VARCHAR2','2013-05-07 00:54:49','CSV_18596','NULL','1',''N'','BU50T1_REPORTS','Contains all reports in the CPM system along with their user description.','NULL','CSV',
'1 - yes','NUMBER','2013-05-07 00:54:17','CURRENTLY_LEASING_16941','NULL','22','1=Yes','DHS_LEASE_INFORMATION','Homelessness program. If applicant leases their facility','NULL','CURRENTLY_LEASING',
'NULL','VARCHAR2','2013-05-07 00:54:49','CURRENT_VALUE_18583','NULL','1','NULL','BU50T1_REF_CODES','General list of reference codes group by rv_domain','NULL','CURRENT_VALUE',
'current BPR','NUMBER','2013-05-07 00:53:50','CURR_RATE_16199','NULL','22','NULL','BU25T1_ORNR','Used for applying new rates in effect for next budget year','NULL','CURR_RATE',
'current payrate','NUMBER','2013-05-07 00:53:51','CURR_RATE_16392','NULL','22','NULL','BU25T1_SPECIAL_RATES','special payrates for specific titles','NULL','CURR_RATE',
'current year end targets','VARCHAR2','2013-05-07 00:53:51','CURR_YE_16280','NULL','240','NULL','BU25T1_PROGRAM_PM_IND','Was used to for displaying performance measures in the Program Book. Currently not used.','NULL','CURR_YE',
'current year month totals','NUMBER','2013-05-07 00:53:51','CURR_YEAR_MONTH_TOTAL_16296','NULL','22','NULL','BU25T1_REVENUE_AMTS','revenue collections provided by Dept of Finance revenue collections. Child table of bu25t1_revenue_appr','NULL','CURR_YEAR_MONTH_TOTAL',
'amounts for this year and month','VARCHAR2','2013-05-07 00:53:51','CURR_YEAR_MONTH_TOTAL_16321','NULL','100','NULL','BU25T1_REVENUE_HOLD','Monthly revenue collection data provided to OBM from Dept of Finance Revenue Section','NULL','CURR_YEAR_MONTH_TOTAL',
'current year month totals','NUMBER','2013-05-07 00:53:51','CURR_YEAR_MONTH_TOTAL_16368','NULL','22','NULL','BU25T1_RPROGRAM_ITEMS','Revenue collection from Dept of Finance - Revenue section. Itemized data.','NULL','CURR_YEAR_MONTH_TOTAL',
'current year targets','VARCHAR2','2013-05-07 00:53:51','CURR_YR_16277','NULL','2000','NULL','BU25T1_PROGRAM_PM_IND','Was used to for displaying performance measures in the Program Book. Currently not used.','NULL','CURR_YR',
'budget year estimate','NUMBER','2013-05-07 00:53:49','CUR_AMOUNT_15905','NULL','22','NULL','BU25T1_EST_REVENUE_PRIOR','Used for creation of Summary A and B in the Budget Book','NULL','CUR_AMOUNT',
'for Summary B for Summary B','NUMBER','2013-05-07 00:53:49','CUR_ASSETS_15877','NULL','22','NULL','BU25T1_EST_REVENUE_BALANCES','Revenue Assets and Liabilities for Detail of Revenue Estimates printed in Budget Book','NULL','CUR_ASSETS',
'for Summary B','NUMBER','2013-05-07 00:53:49','CUR_LIABILITIES_15878','NULL','22','NULL','BU25T1_EST_REVENUE_BALANCES','Revenue Assets and Liabilities for Detail of Revenue Estimates printed in Budget Book','NULL','CUR_LIABILITIES',
'if not a city email this flag is used to allow other email','VARCHAR2','2013-09-27 09:19:44','CUSTOMEMAILFLAG_20494','NULL','1','NULL','FILER','Attributes associated with financial interest filers','NULL','CUSTOMEMAILFLAG',
'yes or no - can use non city email','VARCHAR2','2013-09-27 09:19:44','CUSTOMEMAILFLAG_20521','NULL','1','NULL','FILER_20120524','back up filer table no longer used','NULL','CUSTOMEMAILFLAG',
'can use non-city email - yes or no','VARCHAR2','2013-09-27 09:19:45','CUSTOMEMAILFLAG_20548','NULL','1','NULL','FILER_BKP_20120329','back up filer table no longer used','NULL','CUSTOMEMAILFLAG',
'primary key','NUMBER','2013-05-07 00:54:46','CYCLE_ID_17828','NULL','22','NULL','BU50T1_DT_CONTRACT_CYCLES','stores contract cycle information.','NULL','CYCLE_ID',
'compound foreign key along with cycle code to bu25t1_code_objects','VARCHAR2','2013-05-07 00:53:50','CYCLE_REF_CODE_16050','NULL','2',''G'','BU25T1_HIST_PERS','Historical position counts and appropiation amounts by dept /fund/org and program','NULL','CYCLE_REF_CODE',
'primary key','NUMBER','2013-05-07 00:54:46','CYC_SETUP_ID_17843','NULL','22','NULL','BU50T1_DT_CYCLE_SETUPS','stores information regarding the contract cycle steps.','NULL','CYC_SETUP_ID',
'Data source','VARCHAR2','2013-05-07 00:54:46','DATA_SOURCE_17805','NULL','10','NULL','BU50T1_DT_CONTRACTS','stores contract information entered by the procurement department.','NULL','DATA_SOURCE',
'Data source','VARCHAR2','2013-05-07 00:54:48','DATA_SOURCE_18297','NULL','50','NULL','BU50T1_PROJECT_MAJOR_TASK_REQ','Stores the major task requisition.','NULL','DATA_SOURCE',
'Data source','VARCHAR2','2013-05-07 00:54:48','DATA_SOURCE_18429','NULL','10','NULL','BU50T1_PROJECT_REQUISITIONS','Table not used.','NULL','DATA_SOURCE',
'Date of Category/Activity','Date','2013-05-07 01:04:18','Date_20284','NULL','8','NOT NULL','tblSeniorParticipationItems','Maintain information on senior activities/categories.','NULL','Date',
'Encumbrance Date','Date','2013-09-27 13:24:47','Date_20684','NULL','255','NOT NULL','Encumbrance','Unique encumbrance number','4/1/2013','Date',
'Date and Start Time','date','2013-09-26 14:44:41','Date and Start Time_20415','NULL','NULL','NULL','Adult Services Programs','contains information about upcoming and past programs','4/18/13 6 p.m.','Date and Start Time',
'Date of action','Date','2013-05-07 01:04:34','DateAction_20301','NULL','50','NOT NULL','Audits','Contains basic audit  information','1/24/2012','DateAction',
'Date of audit complete','Date','2013-05-07 01:04:34','DateComplete_20302','NULL','50','NOT NULL','Audits','Contains basic audit  information','1/24/2012','DateComplete',
'Days of dining','Text','2013-05-07 01:03:02','DateDining_20182','NULL','50','NOT NULL','Dinings','Contains basic dining information','1','DateDining',
'Date of filing contact information','Date','2013-05-07 01:03:34','DateFiled_20225','NULL','50','NOT NULL','Contacts','Contains basic contact  information','11/9/2011 14:14','DateFiled',
'Date of filing contact information','Date','2013-05-07 01:03:34','DateFiled_20231','NULL','50','NOT NULL','Questions','Contains basic grant  information','11/9/2011 14:14','DateFiled',
'Date of filing contact information','Date','2013-05-07 01:03:34','DateFiled_20238','NULL','50','NOT NULL','Officers','Contains basic officer compensation  information','11/9/2011 14:14','DateFiled',
'Date of updating contact information','Date','2013-05-07 01:03:34','DateUpdate_20226','NULL','50','NULL','Contacts','Contains basic contact  information','11/9/2011 14:14','DateUpdate',
'Date of updating contact information','Date','2013-05-07 01:03:34','DateUpdate_20232','NULL','50','NULL','Questions','Contains basic grant  information','11/9/2011 14:14','DateUpdate',
'Date of updating contact information','Date','2013-05-07 01:03:34','DateUpdate_20239','NULL','50','NULL','Officers','Contains basic officer compensation  information','11/9/2011 14:14','DateUpdate',
'date activated in CDGA system','DATE','2013-05-07 00:54:16','DATE_ACTIVATED_16759','NULL','7','NULL','APP_ROLE','List of security roles','NULL','DATE_ACTIVATED',
'NULL','DATE','2013-05-07 00:54:44','DATE_APPROVED_17420','NULL','7','NULL','BU50T1_ADDRESSES','X coordinate low-state plane coordinates','NULL','DATE_APPROVED',
'NULL','DATE','2013-05-07 00:53:46','DATE_CREATED_15045','NULL','7','sysdate','BOOK_ACTION','List of actions for the Budget Book Application based on user role','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:46','DATE_CREATED_15066','NULL','7','sysdate','BOOK_ANNOTATION','Annotations entered into the Budget Book application by OBM staff','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:46','DATE_CREATED_15073','NULL','7','sysdate','BOOK_AUDIT','Audit trail of modifications made in the Budget Book Application by Draft number.','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:46','DATE_CREATED_15084','NULL','7','sysdate','BOOK_DRAFT','list of available budget book drafts','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:47','DATE_CREATED_15133','NULL','7','NULL','BU25T1_ALLOT_ACCT_EXCPT','Used at the end of the year for FMPS system to designate which accounts will not be restricted to quarterly allotments and or have percentage of appropriation held in reserve.','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:47','DATE_CREATED_15141','NULL','7','NULL','BU25T1_ALLOT_EXCPT','Used at the end of the year for FMPS system to designate which departments or funds are not be restricted to quarterly allotments and/or have percentage of appropriation held in reserve.','NULL','DATE_CREATED',
'date created','DATE','2013-05-07 00:53:47','DATE_CREATED_15152','NULL','7','NULL','BU25T1_AMENDMENTS','Amendments during Council cycle are entered here.','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:47','DATE_CREATED_15198','NULL','7','NULL','BU25T1_AMEND_DELG','Amendments during Council Cycle for delegate agencies are listed here.','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:47','DATE_CREATED_15235','NULL','7','NULL','BU25T1_AMEND_DELG_HISTORY','Current budget year amendment delegate history is stored here if we ever went past 3 rounds. See bu25t1_amend_delg for column descriptions.','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:47','DATE_CREATED_15272','NULL','7','NULL','BU25T1_AMEND_DESC','Used for displaying longer account descriptions as used in Finance General','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:47','DATE_CREATED_15279','NULL','7','NULL','BU25T1_AMEND_HISTORY','Current budget year amendment history is stored here if we ever went past 3 rounds. See bu25t1_amendments for column descriptions.','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:47','DATE_CREATED_15381','NULL','7','NULL','BU25T1_BARG_UNIT','List of bargaining units for City of Chicago employees','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:48','DATE_CREATED_15532','NULL','7','NULL','BU25T1_EMPLOYEES','Employee information for budget process.','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:49','DATE_CREATED_15696','NULL','7','NULL','BU25T1_EMP_HOLD','A list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:49','DATE_CREATED_15758','NULL','7','sysdate','BU25T1_EMP_HOLD_TEMP','A daily list of all personnel changes from CHIPPS (HR) during the budget process. ie resignations','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:49','DATE_CREATED_15858','NULL','7','SYSDATE','BU25T1_EST_REVENUE','Used in Detail of Revenue Estimates published in the Budget Book','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:49','DATE_CREATED_15869','NULL','7','SYSDATE','BU25T1_EST_REVENUE_BALANCES','Revenue Assets and Liabilities for Detail of Revenue Estimates printed in Budget Book','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:49','DATE_CREATED_15888','NULL','7','SYSDATE','BU25T1_EST_REVENUE_FUNDS','List of revenue funds for Revenue Estimates printed in the Budget Book','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:49','DATE_CREATED_15899','NULL','7','SYSDATE','BU25T1_EST_REVENUE_PRIOR','Used for creation of Summary A and B in the Budget Book','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:49','DATE_CREATED_15907','NULL','7','NULL','BU25T1_EXCLUSIONS','list of budget level orgs to not subtotal because they are reimbursed by other City agencies. Prevents double counting.','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:49','DATE_CREATED_15931','NULL','7','NULL','BU25T1_FAVORITE_REPORTS','List of user designated favorite reports','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:50','DATE_CREATED_16067','NULL','7','NULL','BU25T1_HIST_PERS','Historical position counts and appropiation amounts by dept /fund/org and program','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:50','DATE_CREATED_16071','NULL','7','NULL','BU25T1_HIST_PGMDESC','Historical list of dept program names','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:50','DATE_CREATED_16081','NULL','7','NULL','BU25T1_INPROCESS','Position table used in producing Budget Book','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:50','DATE_CREATED_16163','NULL','7','NULL','BU25T1_MODULE_PARMS','Child table of bu25t1_modules. Lists parameter choices for a specific report','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:50','DATE_CREATED_16191','NULL','7','NULL','BU25T1_ORNR','Used for applying new rates in effect for next budget year','NULL','DATE_CREATED',
'indicates title code or schedule rate','DATE','2013-05-07 00:53:51','DATE_CREATED_16384','NULL','7','NULL','BU25T1_SPECIAL_RATES','special payrates for specific titles','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:51','DATE_CREATED_16463','NULL','7','NULL','BU25T1_TITLES','All title codes for the City of Chicago','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:51','DATE_CREATED_16471','NULL','7','NULL','BU25T1_TITLE_DESC','Short and long descriptions for title codes','NULL','DATE_CREATED',
'NULL','DATE','2013-05-07 00:53:51','DATE_CREATED_16482','NULL','7','NULL','BU25T1_TITLE_EXCP','List of title codes in alternate bargaining unit for a dept','NULL','DATE_CREATED',
'Date created','DATE','2013-05-07 00:53:52','DATE_CREATED_16632','NULL','7','NULL','BU26T1_PRELIM','Stores the preliminary yearly budget at the start of the budget cycle.','NULL','DATE_CREATED',
'Date created','DATE','2013-05-07 00:54:16','DATE_CREATED_16672','NULL','7','sysdate','ADDRESS','Delegate addresses','NULL','DATE_CREATED',
'Date created','DATE','2013-05-07 00:54:16','DATE_CREATED_16728','NULL','7','sysdate','APPLICATION','CDGA applications','NULL','DATE_CREATED',
'Date created','DATE','2013-05-07 00:54:16','DATE_CREATED_16744','NULL','7','sysdate','APPROPRIATION','Dept recommendation appropriation key','NULL','DATE_CREATED',
'Date created','DATE','2013-05-07 00:54:16','DATE_CREATED_16754','NULL','7','sysdate','APP_ROLE','List of security roles','NULL','DATE_CREATED',
'Date created','DATE','2013-05-07 00:54:16','DATE_CREATED_16767','NULL','7','sysdate','APP_URL','application short cut links','NULL','DATE_CREATED',
'Date created','DATE','2013-05-07 00:54:16','DATE_CREATED_16784','NULL','7','sysdate','APP_USER','Authorized users','NULL','DATE_CREATED',
