Table Description,Table Name,Name,Name clean,Description,Description clean,'Type / Format',Last Updated,Last Updated date,File Name,Comments,Length,Values,Example
List of delegates that have registered,DELEGATE,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16829,NULL,7.0,sysdate,NULL
List of City departments managing CDGA programs,DEPARTMENT,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16845,NULL,7.0,sysdate,NULL
Applications for Homelessness programs managed by HUD,DHS_APPLICATION,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16858,NULL,7.0,sysdate,NULL
Homelessness program applicants information on building codes compliance,DHS_BUILDING_CODES,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16870,NULL,7.0,sysdate,NULL
Homelessness program applicants information on facility details,DHS_BUILDING_SYSTEMS,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16887,NULL,7.0,sysdate,NULL
For applicants that provide congregate apartments.,DHS_CONGREGATE_HOUSING,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16905,NULL,7.0,sysdate,NULL
Homelessness program applicants information about their facilities,DHS_FACILITY,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16931,NULL,7.0,sysdate,NULL
Homelessness program. If applicant leases their facility,DHS_LEASE_INFORMATION,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16955,NULL,7.0,sysdate,NULL
Homelessness program applicants must provide info if their facility has a Food Handlers License or Retail Food Establishment License.,DHS_LICENSING,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16970,NULL,7.0,sysdate,NULL
Homelessness program applicants facilities not currently operating at proposed location.,DHS_NEW_SITE_INFORMATION,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_16990,NULL,7.0,sysdate,NULL
Homelessness program. If applicant owns their facility,DHS_OWNERSHIP_INFORMATION,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_17005,NULL,7.0,sysdate,NULL
Homelessness program applicants program details,DHS_PROGRAM_INFORMATION,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_17048,NULL,7.0,sysdate,NULL
For applicants that provide individual apartments.,DHS_PROJECT_BASED_APTS,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:17,2013-05-07T00:54:17Z,DATE_CREATED_17063,NULL,7.0,sysdate,NULL
Homelessness program applicants information on safety and security,DHS_SAFETY_SYSTEMS,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17077,NULL,7.0,sysdate,NULL
Additional agencies that applicant refers clients to.,DHS_SERVICE_LINKAGE,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17089,NULL,7.0,sysdate,NULL
For applicants that applying for a non-residential program or social service program,DHS_SOCIAL_SERVICES,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17104,NULL,7.0,sysdate,NULL
List of City department divisions or bureaus managing CDGA programs,DIVISION,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17111,NULL,7.0,SYSDATE,NULL
Department evaluations of applications,EVALUATION,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17120,NULL,7.0,NULL,NULL
list of evaluation ratings,EVALUATION_FUNDING,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17137,NULL,7.0,sysdate,NULL
List of common facility types for delegate agencies,FACILITY_TYPE,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17148,NULL,7.0,sysdate,NULL
List of fringe benefits that delegate agencies offer to their employees with calulators and determination of City share,FRINGE_BENEFIT,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17165,NULL,7.0,sysdate,NULL
List of fringe benefits such as social security,FRINGE_BENEFIT_TYPE_CODE,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17175,NULL,7.0,sysdate,NULL
Funding sources other than CDBG money that delegates agencies are using for an application,FUND,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17186,NULL,7.0,sysdate,NULL
Applicants nonpersonnel budget for program they are applying for,NON_PERSONNEL_BUDGET,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17215,NULL,7.0,sysdate,NULL
list of days and hours of operation for delegates,OFFICE_HOURS,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17227,NULL,7.0,sysdate,NULL
Applicants personnel budget for program they are applying for,PERSONNEL_BUDGET,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17242,NULL,7.0,sysdate,NULL
PIAD stands for Problem,PIAD,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17255,NULL,7.0,sysdate,NULL
List of previous funding applicant has received for the program they are applying for,PREVIOUS_FUNDING,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17267,NULL,7.0,sysdate,NULL
Funding categories that applicant has previously applied for.,PREVIOUS_FUNDING_TYPE_CODE,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17275,NULL,7.0,sysdate,NULL
List of CDGA programs,PROGRAM,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17286,NULL,7.0,sysdate,NULL
Applicant address that will provide services for this program,SERVICE_AREA,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17300,NULL,7.0,sysdate,NULL
list of valid city street names,STREET,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17308,NULL,7.0,sysdate,NULL
Messages to be displayed on CDGA dashboard,SYSTEM_MESSAGE,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:18,2013-05-07T00:54:18Z,DATE_CREATED_17317,NULL,7.0,NULL,NULL
Categories for messages to be displayed on CDGA dashboard,SYSTEM_MESSAGE_CATEGORY,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,DATE_CREATED_17336,NULL,7.0,NULL,NULL
Dates that system is available to users based upon their role,SYSTEM_SETTINGS,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,DATE_CREATED_17351,NULL,7.0,NULL,NULL
Adjacent wards that will be served by a delegate applications,WARDS_SERVED,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,DATE_CREATED_17364,NULL,7.0,sysdate,NULL
Performance measures for applicants,WORK_PROGRAM,DATE_CREATED,DATE_CREATED,Date created,Date created,DATE,2013-05-07 00:54:19,2013-05-07T00:54:19Z,DATE_CREATED_17386,NULL,7.0,sysdate,NULL
X coordinate low-state plane coordinates,BU50T1_ADDRESSES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,DATE_CREATED_17406,NULL,7.0,NULL,NULL
Address information stored as part of batch geocoding.,BU50T1_ADDRESSES_TEMP,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,DATE_CREATED_17432,NULL,7.0,NULL,NULL
work types associated to the address table,BU50T1_ADDRESS_WORK_TYPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:44,2013-05-07T00:54:44Z,DATE_CREATED_17454,NULL,7.0,NULL,NULL
Contains all the work type information for a CPM number.,BU50T1_ADDRESS_WORK_TYPE_JN,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17482,NULL,7.0,NULL,NULL
stores addresses to be batch deleted,BU50T1_ADDR_BATCH_DELETE,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17492,NULL,7.0,NULL,NULL
legacy table from the CIP system which was replaced by CPM; no longer used in current CPM operations,BU50T1_BENCHMARKS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17506,NULL,7.0,NULL,NULL
stores the list of all bureaus in CPM,BU50T1_BUREAUS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17529,NULL,7.0,NULL,NULL
stores general CDOT contact information,BU50T1_CDOT_CONTRACTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17559,NULL,7.0,NULL,NULL
stores contract benchmark information contained in the legacy system CIP; which was replaced by CPM.,BU50T1_CDOT_CONTRACT_BENCHMARK,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17615,NULL,7.0,NULL,NULL
Contains comments on the CDOT contract,BU50T1_CDOT_CONTRACT_COMMENTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17626,NULL,7.0,NULL,NULL
Contains task information associated with a CDOT contract,BU50T1_CDOT_CONTRACT_TASKS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17634,NULL,7.0,NULL,NULL
Contains contract information that relates to a specific aldermanic ward,BU50T1_CDOT_CONTRACT_WARDS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17641,NULL,7.0,NULL,NULL
stores CDOT project number when different than the CPM number,BU50T1_CDOT_CON_DEPT_PROJECTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17648,NULL,7.0,NULL,NULL
stores the project manager of the contract,BU50T1_CDOT_CON_PROJ_MANAGERS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17656,NULL,7.0,NULL,NULL
measurement types of the legacy CIP system,BU50T1_CIP_MEASURE_TYPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17664,NULL,7.0,NULL,NULL
Legacy CIP system table which contains the responsible LDAP distinguished name,BU50T1_CIP_RESP_DN_WORK_TYPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17672,NULL,7.0,NULL,NULL
Legacy CIP system work categories,BU50T1_CIP_WORK_CATEGORIES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17682,NULL,7.0,NULL,NULL
Legacy CIP system work types,BU50T1_CIP_WORK_TYPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17692,NULL,7.0,NULL,NULL
Contains the options for the various system work types which allow the user to select valid options for the field in the system.,BU50T1_CODES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17709,NULL,7.0,NULL,NULL
Contains all the fields that can be defined in the BU50T1_CODES table.,BU50T1_CODE_TYPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17718,NULL,7.0,sysdate,NULL
Table contains no data,BU50T1_CPR_ENOTE,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:45,2013-05-07T00:54:45Z,DATE_CREATED_17740,NULL,7.0,sysdate,NULL
stores the list of all departments in CPM,BU50T1_DEPARTMENTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17750,NULL,7.0,NULL,NULL
contains the link of the CPM number to the department specific non-CPM number.,BU50T1_DEPARTMENT_PROJECTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17762,NULL,7.0,NULL,NULL
Contains all CPM facility information.,BU50T1_FACILITIES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17876,NULL,7.0,NULL,NULL
Table not used,BU50T1_FAQ,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17890,NULL,7.0,NULL,NULL
Table not used.,BU50T1_FAQ_CATEGORIES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17899,NULL,7.0,NULL,NULL
Contains expenditure information sent from the FMPS system.,BU50T1_FMPS_EXPENDITURES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17924,NULL,7.0,NULL,NULL
Table not used.,BU50T1_FMPS_EXPENDITURE_DETAIL,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17942,NULL,7.0,NULL,NULL
Contains funding strip information recieved from FMPS.,BU50T1_FMPS_FUNDING_STRIPS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17958,NULL,7.0,NULL,NULL
Contains all the funding accounts as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_ACCTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17972,NULL,7.0,NULL,NULL
Contains the funding process as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_PROCESS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17979,NULL,7.0,NULL,NULL
contains the funding source as listed in the legacy CIP system.  This table is no longer used.,BU50T1_FUNDING_SOURCE,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_17990,NULL,7.0,NULL,NULL
Contains all fund codes in the CPM system.,BU50T1_FUNDS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:46,2013-05-07T00:54:46Z,DATE_CREATED_18002,NULL,7.0,sysdate,NULL
Contains the geocoding results for an address/location.,BU50T1_GEO_RESULTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18029,NULL,7.0,NULL,NULL
Contains all valid geocode shapes/geographies that are available for CPM use.,BU50T1_GEO_SHAPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18043,NULL,7.0,NULL,NULL
Contains all units of measurement of work types contained in CPM.,BU50T1_MEASURE_TYPES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18053,NULL,7.0,NULL,NULL
This table contains all the records (menu address_work_types) that we load into cpm from the menu spreadsheets that BOE and CDOT send to us.  Note that the addresses_temp table only contains the data from the current spreadsheet.,BU50T1_MENU_ADDR_WORK_TYPES_JN,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18067,NULL,7.0,sysdate,NULL
Contains the list of CIP users that should have had access to CPM for the initial go-live.  This table is no longer used.,BU50T1_PERSONNEL,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18099,NULL,7.0,NULL,NULL
Table contains no data.,BU50T1_PRJ_FND_STRPS_ORIG_LOAD,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18143,NULL,7.0,NULL,NULL
Table contains the Programs which assigned to projects.,BU50T1_PROGRAMS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18151,NULL,7.0,NULL,NULL
Table contains the header information for all CPM projects.,BU50T1_PROJECTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18174,NULL,7.0,sysdate,NULL
Contains the attachments data loaded a CPM project.,BU50T1_PROJECT_FILE,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18226,NULL,7.0,sysdate,NULL
contains the current funding information for a project at the overall project level.,BU50T1_PROJECT_FUNDS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18233,NULL,7.0,sysdate,NULL
Contains all project fund changes.,BU50T1_PROJECT_FUND_JN,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18263,NULL,7.0,sysdate,NULL
Stores the project major tasks.,BU50T1_PROJECT_MAJOR_TASKS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:47,2013-05-07T00:54:47Z,DATE_CREATED_18273,NULL,7.0,NULL,NULL
Stores attachments for the projects major task.,BU50T1_PROJECT_MAJOR_TASK_FILE,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18282,NULL,7.0,sysdate,NULL
Stores the major task requisition.,BU50T1_PROJECT_MAJOR_TASK_REQ,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18292,NULL,7.0,NULL,NULL
Current overall notes for the CPM project.,BU50T1_PROJECT_NOTES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18303,NULL,7.0,sysdate,NULL
Contains all project notes contained in CPM,BU50T1_PROJECT_NOTE_JN,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18315,NULL,7.0,sysdate,NULL
Table not used,BU50T1_PROJECT_NOTIFICATIONS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18321,NULL,7.0,sysdate,NULL
Contains the current CPM project phases for a CPM project.,BU50T1_PROJECT_PHASES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18330,NULL,7.0,NULL,NULL
Contains all the CPM project phases for a CPM project.,BU50T1_PROJECT_PHASE_JN,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18367,NULL,7.0,NULL,NULL
Contains the project phases from the CIP system which was replaced by CPM.,BU50T1_PROJECT_PHASE_LEGACY,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18392,NULL,7.0,NULL,NULL
Table not used.,BU50T1_PROJECT_PHASE_NOTES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18408,NULL,7.0,sysdate,NULL
Table not used.,BU50T1_PROJECT_REQUISITIONS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18433,NULL,7.0,NULL,NULL
Table not used.,BU50T1_PROJECT_REQ_NOTES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18444,NULL,7.0,NULL,NULL
Contains the tasks assigned to a project address.,BU50T1_PROJECT_TASKS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18458,NULL,7.0,NULL,NULL
Contains the current task notes for a CPM project.,BU50T1_PROJECT_TASK_NOTES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18477,NULL,7.0,NULL,NULL
Contains all the task notes for a CPM project.,BU50T1_PROJECT_TASK_NOTE_JN,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18489,NULL,7.0,NULL,NULL
"Year a CPM project was published in the capital improvement program"" book.""",BU50T1_PROJECT_YEAR_PUBLISHED,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18494,NULL,7.0,sysdate,NULL
Table not used.,BU50T1_PROJ_FUNDING_PROCESSES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18501,NULL,7.0,NULL,NULL
Table not used.,BU50T1_PROJ_FUNDING_SOURCES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18511,NULL,7.0,NULL,NULL
FMPS funding strips currently associated to a CPM project.,BU50T1_PROJ_FUNDING_STRIPS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:48,2013-05-07T00:54:48Z,DATE_CREATED_18532,NULL,7.0,NULL,NULL
All FMPS funding strips associated to a CPM project.,BU50T1_PROJ_FUNDING_STRIPS_JN,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18555,NULL,7.0,NULL,NULL
Stores the project major task work types.,BU50T1_PROJ_MAJ_TASK_WORK_TYPE,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18561,NULL,7.0,NULL,NULL
Used in the CIP system; not used on the CPM system.,BU50T1_PROJ_PHASE_CONTRACTORS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18569,NULL,7.0,NULL,NULL
Contains all reports in the CPM system along with their user description.,BU50T1_REPORTS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18590,NULL,7.0,sysdate,NULL
Stores CPM report category groupings.,BU50T1_REPORT_GROUP_CATEGORIES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18601,NULL,7.0,sysdate,NULL
Controls which report categories a user is able to view.,BU50T1_REPORT_GROUP_CAT_DN,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18608,NULL,7.0,sysdate,NULL
CPM report parameters,BU50T1_REPORT_PARMS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18617,NULL,7.0,NULL,NULL
CPM report parameters linking the user label to the SQL cursor used.,BU50T1_REPORT_PARM_LOOKUP,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18631,NULL,7.0,NULL,NULL
CIP benchmark data; not used in CPM.,BU50T1_RESP_DN_BENCHMARKS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18644,NULL,7.0,NULL,NULL
Responsible department for a facility.,BU50T1_RESP_DN_FACILITIES,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18653,NULL,7.0,NULL,NULL
Table not used.,BU50T1_RESP_DN_FUNDING_PROCESS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18660,NULL,7.0,NULL,NULL
Controls which department can view/use a fund in CPM.,BU50T1_RESP_DN_FUNDS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18667,NULL,7.0,NULL,NULL
Table not used.,BU50T1_RESP_DN_PROGRAMS,DATE_CREATED,DATE_CREATED,Creation date,Creation date,DATE,2013-05-07 00:54:49,2013-05-07T00:54:49Z,DATE_CREATED_18676,NULL,7.0,NULL,NULL
